100 Eastwood Drive,West of Twin Peaks,San Francisco,2322,37.7277127,-122.4571402
2600 40th Avenue,Sunset District,San Francisco,2323,37.7383153,-122.4979406
0 Mason Street,Tenderloin,San Francisco,2340,37.7863931,-122.4099832
West Point Road,Bayview,San Francisco,2343,37.7352708,-122.3794422
600 3rd Avenue,Richmond District,San Francisco,2344,37.7773597,-122.4608164
100 Octavia Street,Western Addition,San Francisco,2441,37.773337,-122.4236997
2800 Mission Street,Mission District,San Francisco,2442,37.7519917,-122.418722
500 22nd Street,Potrero Hill,San Francisco,2443,37.7584399,-122.3845971
1300 Montgomery Street,North Beach,San Francisco,2460,37.8011899,-122.4045276
200 Moncada Way,Oceanview,San Francisco,2463,37.7270843,-122.4692855
1700 47th Avenue,Sunset District,San Francisco,2464,37.7547704,-122.506627
Diamond Cove Terrace,Bayview,San Francisco,2465,37.7128195,-122.3938235
400 Amador Street,Bayview,San Francisco,2466,37.7457855,-122.3860165
100 Shrader Street,San Francisco 2495,San Francisco,2495,37.7740427,-122.4528268
100 Diamond Street,The Castro,San Francisco,2496,37.7605779,-122.437357
600 Tompkins Avenue,Bernal Heights,San Francisco,2497,37.737045,-122.4128873
700 Rolph Street,Crocker-Amazon,San Francisco,2498,37.7114301,-122.4315839
400 Faxon Avenue,Ingleside,San Francisco,2499,37.7219553,-122.4600261
800 Cole Street,Ashbury Heights,San Francisco,2601,37.7667341,-122.4501691
2100 Beach Street,Marina District,San Francisco,2606,37.8037104,-122.4436435
100 West Portal Avenue,West of Twin Peaks,San Francisco,2614,37.7397003,-122.4673386
300 Langton Street,South of Market,San Francisco,2622,37.7738435,-122.4052922
1300 16th Avenue,Inner Sunset,San Francisco,2624,37.7637016,-122.4739347
400 Alpha Street,Visitacion Valley,San Francisco,2625,37.7125833,-122.4052652
Cochrane Street,Bayview,San Francisco,2629,37.7244336,-122.3668652
1300 Egbert Avenue,Bayview,San Francisco,2643,37.721912,-122.39076
100 Rutledge Street,Bernal Heights,San Francisco,2673,37.7453533,-122.4067944
1900 Buchanan Street,Western Addition,San Francisco,2694,37.7876615,-122.4300671
2200 Rivera Street,Sunset District,San Francisco,2695,37.7463296,-122.4900529
