CNN,SP
51555000,51555000
51555000,33251000
51555000,51552000
50539000,27967000
50539000,50539000
23889000,23888000
23889000,50074000
23889000,30009000
23889000,23898000
23889000,23900000
23889000,50071000
24952000,24953000
24952000,30053000
24952000,24946000
24952000,24951000
22258000,22259000
22258000,22253000
22258000,22257000
22258000,22645000
27569000,27561000
27569000,27560000
27569000,27567000
27569000,27571000
20219000,20230000
20219000,20223000
20219000,20218000
20219000,20672000
22480000,22480000
22480000,52048000
22480000,54233000
22480000,22490000
22480000,22463000
22480000,52047000
52216000,51968000
52216000,21619000
52216000,21616000
52216000,21626000
20645000,20642000
20645000,20643000
20645000,51666000
20645000,20646000
50982000,20341000
50084000,50077000
50084000,50086000
50084000,50075000
25395000,25396000
25395000,25392000
25395000,25398000
25395000,25366000
51578000,25716000
51578000,25709000
23615000,23627000
23615000,23613000
23615000,50716000
23615000,50717000
33359000,21453000
33359000,21454000
33359000,33355000
33359000,33353000
23613000,23615000
23613000,33051000
23613000,52245000
23613000,52243000
27428000,27434000
27428000,27426000
27428000,27427000
27428000,27431000
23686000,23689000
23686000,23693000
23686000,23685000
23686000,33048000
21497000,21499000
21497000,21494000
21497000,21501000
21497000,21491000
50527000,26448000
50527000,50527000
23758000,23760000
23758000,23742000
23758000,23759000
23758000,23756000
27853000,27838000
27853000,27855000
27853000,27844000
27853000,27854000
26019000,26009000
26019000,26032000
26019000,26011000
21348000,21349000
21348000,21351000
21348000,21347000
21348000,21895000
24184000,24177000
24184000,24374000
24184000,24375000
23828000,23813000
23828000,23835000
23828000,23836000
51021000,21538000
51021000,51021000
20514000,20498000
20514000,20528000
20514000,20514000
20514000,20513000
30043000,25267000
30043000,30043000
30043000,25285000
30043000,25287000
50072000,23834000
50072000,50079000
50072000,50074000
50072000,50071000
26871000,26872000
26871000,26876000
26871000,26870000
26871000,26878000
21791000,52092000
21791000,33384000
21791000,21795000
33228000,33645000
33228000,50825000
33228000,20463000
33228000,33224000
21922000,22020000
21922000,21917000
21922000,21921000
21922000,25644000
23201000,23209000
23201000,23199000
23201000,23200000
25462000,25442000
25462000,25465000
25462000,25444000
25462000,25464000
21993000,21994000
21993000,21988000
21993000,21992000
21993000,21993000
50515000,26807000
50515000,50515000
23627000,23658000
23627000,23641000
23627000,33050000
23627000,23629000
23627000,23615000
23627000,23627000
27622000,51487000
27622000,51176000
27622000,27628000
26724000,26726000
26724000,26706000
26724000,26723000
26724000,26700000
25888000,25884000
25888000,25887000
25888000,25894000
22064000,22060000
22064000,21758000
22064000,22064000
22064000,51085000
20438000,20443000
20438000,20096000
20438000,20107000
20438000,20436000
24053000,24054000
24053000,24055000
24053000,24043000
22218000,22214000
22218000,22219000
22218000,22217000
20087000,20086000
20087000,20087000
20087000,20085000
20087000,50771000
20383000,20385000
20383000,20384000
20383000,20382000
26740000,26720000
26740000,26741000
26740000,26755000
26740000,26739000
22206000,22220000
22206000,22209000
22206000,22210000
22206000,22203000
22206000,22195000
22206000,22205000
22677000,22676000
22677000,33597000
22677000,22647000
20809000,20783000
20809000,20809000
20809000,20760000
51742000,33054000
51742000,23545000
22277000,51472000
22277000,22267000
22277000,22285000
22277000,33003000
25331000,25320000
25331000,25325000
25331000,25330000
54095000,54098000
54095000,54096000
51401000,51497000
51401000,51401000
23496000,23495000
23496000,32904000
23496000,23493000
24396000,24394000
24396000,24404000
24396000,24396000
24396000,33025000
25757000,22316000
25757000,25736000
25757000,22042000
25757000,25758000
23922000,23933000
23922000,23919000
23922000,23910000
51091000,22698000
51091000,22694000
26183000,26127000
26183000,26193000
26183000,32942000
26183000,26184000
24348000,24354000
24348000,24347000
24348000,24350000
22490000,33436000
22490000,33435000
22490000,22469000
22490000,33437000
22490000,52047000
50946000,20955000
50946000,50945000
22513000,33453000
22513000,51137000
22513000,22513000
26257000,32953000
26257000,26258000
26257000,26198000
25359000,25365000
25359000,25357000
25359000,25359000
25359000,50145000
22665000,33417000
22665000,22618000
22665000,22667000
22665000,22665000
32966000,26119000
32966000,26124000
32966000,26122000
24626000,23939000
24626000,24589000
24626000,24626000
24626000,28147000
22939000,33004000
22939000,22933000
22939000,22935000
25200000,25201000
25200000,25199000
25200000,25167000
25200000,25215000
20584000,51973000
20584000,20592000
20584000,20583000
54083000,33645000
54083000,33228000
26951000,26942000
26951000,27573000
26951000,26950000
26951000,33546000
27461000,27424000
27461000,27422000
27461000,27460000
22770000,22772000
22770000,22771000
22770000,22769000
25802000,25794000
25802000,25802000
25802000,25803000
25802000,25791000
25626000,25624000
25626000,25630000
25626000,25629000
25626000,25608000
24751000,24746000
24751000,24984000
24751000,24752000
24751000,24749000
23791000,34186000
23791000,23790000
23791000,23791000
23791000,23846000
21956000,21960000
21956000,21963000
21956000,21932000
21956000,21959000
51446000,51453000
51446000,51446000
24217000,24219000
24217000,24214000
30735000,30734000
30735000,30737000
30735000,24623000
30735000,24621000
22382000,22361000
22382000,22389000
22382000,22384000
22382000,22380000
26941000,26940000
26941000,26942000
26941000,26950000
26941000,26922000
24449000,24447000
24449000,24457000
24449000,30706000
24449000,25915000
32835000,27892000
32835000,27890000
32835000,32837000
