CNN,ST_NAMES,LAT,LONG
20456000,"['DONNER AVE', 'JENNINGS ST']",37.72329392,-122.3920666
20457000,"['EGBERT AVE', '03RD ST']",37.72397256,-122.3949262
20458000,"['JENNINGS ST', 'INGERSON AVE']",37.72017522,-122.394852
20459000,"['JAMESTOWN AVE', 'JENNINGS ST']",37.7195581,-122.3954315
20460000,"['JAMESTOWN AVE', '03RD ST', 'HWY 101 S ON RAMP']",37.72023091,-122.396617
20461000,"['JENNINGS ST', 'LE CONTE AVE']",37.71830977,-122.396555
20463000,"['JENNINGS CT', 'MEADE AVE', 'JENNINGS ST']",37.71769707,-122.3971064
20465000,"['HWY 101 N OFF RAMP', 'MEADE AVE', '03RD ST', 'BAY SHORE BLVD']",37.71817773,-122.397981
20466000,"['03RD ST', 'KEY AVE']",37.71947658,-122.3969544
20467000,"['03RD ST', 'LE CONTE AVE']",37.71883436,-122.3974787
20469000,"['GILMAN AVE', 'JENNINGS ST']",37.72140846,-122.3937369
20470000,"['HOLLISTER AVE', 'JENNINGS ST']",37.72078305,-122.3943019
20471000,"['03RD ST', 'HOLLISTER AVE']",37.72171588,-122.3959438
20472000,"['GILMAN AVE', '03RD ST', 'PAUL AVE']",37.7224316,-122.3956228
20473000,"['03RD ST', 'INGERSON AVE']",37.72098153,-122.3962728
20475000,"['SALINAS AVE', '03RD ST']",37.72074004,-122.3964633
20476000,"['CARR ST', 'SALINAS AVE']",37.72092962,-122.397271
20477000,"['JAMESTOWN AVE', 'KEITH ST']",37.72059046,-122.3972952
20478000,"['CARR ST', 'PAUL AVE']",37.72262622,-122.3966262
20479000,"['GOULD ST', 'PAUL AVE']",37.72287428,-122.3976681
20480000,"['PAUL AVE', 'EXETER ST']",37.72303616,-122.3983481
20481000,"['JENNINGS ST', 'ARMSTRONG AVE']",37.72516721,-122.3903627
20482000,"['YOSEMITE AVE', 'JENNINGS ST']",37.72579056,-122.3898007
20483000,"['VAN DYKE AVE', 'KEITH ST']",37.72809908,-122.3905475
20484000,"['UNDERWOOD AVE', 'KEITH ST']",37.72872846,-122.3899813
20485000,"['LANE ST', 'WALLACE AVE', '03RD ST']",37.72848958,-122.3928994
20486000,"['KEITH ST', 'WALLACE AVE']",37.72747635,-122.3911076
20487000,"['KEITH ST', 'BANCROFT AVE']",37.72560378,-122.3927919
20488000,"['CARROLL AVE', 'KEITH ST']",37.72497357,-122.3933588
20489000,"['CARROLL AVE', '03RD ST']",37.72547565,-122.3942435
20490000,"['KEITH ST', 'ARMSTRONG AVE']",37.72622242,-122.3922355
20491000,"['YOSEMITE AVE', '03RD ST']",37.72773347,-122.3932328
20492000,"['KEITH ST', 'YOSEMITE AVE']",37.72685132,-122.3916698
20493000,"['03RD ST', 'ARMSTRONG AVE']",37.72697983,-122.3935702
20494000,"['YOSEMITE AVE', 'LANE ST']",37.72791331,-122.3935289
20495000,"['LANE ST', 'ARMSTRONG AVE']",37.7272804,-122.3940998
20496000,"['03RD ST', 'QUESADA AVE']",37.73322326,-122.3912445
20497000,"['LANE ST', 'QUESADA AVE']",37.73228996,-122.3896006
20498000,"['03RD ST', 'REVERE AVE', 'BAY VIEW ST']",37.73243191,-122.3915214
20499000,"['REVERE AVE', 'LANE ST']",37.73166294,-122.3901644
